,broadcast,exp_min,m_code,p_code,p_name,p_group,unit_price,total_price,sales,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,YEAR_DAY,DAY_NAME,DAY_NUM,p_group_code,new_code,no,sales_level,grade,season,timeslot,holiday,sales_group,52_week,brand_name,brand_power,mask_ratio,parcel_ratio
0,2019-01-01 00:00:00,60.0,100377,201225,그렉노먼 남성 캐시터치 터틀넥 4종,의류,69900,60105000.0,858.0,2019,1,1,24,0,0,2019-01-01,Tuesday,2,0,15.0,58,b,3,4,7,1,2.0,1,그렉노먼,21.052241771740306,0.04095,0.52582
1,2019-01-01 01:00:00,57.1,100193,200652,레이프릴 무빙 맥시풀커버 브라팬티,속옷,69900,43858000.0,627.0,2019,1,1,25,0,0,2019-01-01,Tuesday,2,1,5.0,64,b,4,4,7,1,1.0,1,레이프릴,29.26057546198716,0.04095,0.52582
2,2019-01-01 06:00:00,60.0,100346,201072,테이트 남성 셀린니트3종,의류,39900,32696000.0,820.0,2019,1,1,6,0,0,2019-01-01,Tuesday,2,0,13.0,0,b,4,4,1,1,2.0,1,테이트,16.386845283847588,0.04095,0.52582
3,2019-01-01 07:00:00,60.0,100305,200974,오모떼 레이스 파운데이션 브라,속옷,59000,47878000.0,812.0,2019,1,1,7,0,0,2019-01-01,Tuesday,2,1,7.0,6,b,4,4,1,1,2.0,1,오모떼,18.293730470048533,0.04095,0.52582
4,2019-01-01 08:00:00,60.0,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,99736000.0,1665.0,2019,1,1,8,0,0,2019-01-01,Tuesday,2,0,16.0,9,d,3,4,1,1,4.0,1,CERINI,29.312361698369987,0.04095,0.52582
5,2019-01-01 09:00:00,60.0,100816,202404,보코 리버시블 무스탕,의류,79000,90973000.0,1151.0,2019,1,1,9,0,0,2019-01-01,Tuesday,2,0,18.0,12,c,3,4,2,1,3.0,1,보코,24.387285671981683,0.04095,0.52582
6,2019-01-01 10:00:00,60.0,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900,259678000.0,3250.0,2019,1,1,10,0,0,2019-01-01,Tuesday,2,0,17.0,15,e,2,4,2,1,5.0,1,CERINI,29.312361698369987,0.04095,0.52582
7,2019-01-01 11:00:00,40.0,100664,201999,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,69900,74360000.0,1064.0,2019,1,1,11,0,0,2019-01-01,Tuesday,2,1,9.0,18,c,4,4,2,1,2.0,1,크로커다일,16.343118069145465,0.04095,0.52582
8,2019-01-01 12:00:00,60.0,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60900,192141000.0,3154.0,2019,1,1,12,0,0,2019-01-01,Tuesday,2,2,20.0,20,e,2,4,3,1,5.0,1,에코라믹,32.97268041237113,0.04095,0.52582
9,2019-01-01 13:00:00,60.0,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,111546000.0,1023.0,2019,1,1,13,0,0,2019-01-01,Tuesday,2,1,6.0,23,c,3,4,3,1,2.0,1,오모떼,18.293730470048533,0.04095,0.52582
