,m_code,p_code,p_group,unit_price,sales,YEAR,MONTH,DAY,HOUR,MINUTE,code,mask,parcel,rain,humidity,sunshine,total_price
0,100346,201072,의류,39900,53,2019,1,1,6,0,0,0.04095,0.52582,0.0,60.0,0.0,2099000
1,100346,201079,의류,39900,110,2019,1,1,6,0,0,0.04095,0.52582,0.0,60.0,0.0,4371000
2,100346,201072,의류,39900,82,2019,1,1,6,20,0,0.04095,0.52582,0.0,60.0,0.0,3262000
3,100346,201079,의류,39900,174,2019,1,1,6,20,0,0.04095,0.52582,0.0,60.0,0.0,6955000
4,100346,201072,의류,39900,167,2019,1,1,6,40,0,0.04095,0.52582,0.0,60.0,0.0,6672000
5,100346,201079,의류,39900,234,2019,1,1,6,40,0,0.04095,0.52582,0.0,60.0,0.0,9337000
6,100305,200974,속옷,59000,116,2019,1,1,7,0,1,0.04095,0.52582,0.0,58.0,0.0,6819000
7,100305,200974,속옷,59000,266,2019,1,1,7,20,1,0.04095,0.52582,0.0,58.0,0.0,15689000
8,100305,200974,속옷,59000,430,2019,1,1,7,40,1,0.04095,0.52582,0.0,58.0,0.0,25370000
9,100808,202377,의류,59900,269,2019,1,1,8,0,2,0.04095,0.52582,0.0,57.0,0.0,16133000
10,100808,202377,의류,59900,502,2019,1,1,8,20,2,0.04095,0.52582,0.0,57.0,0.0,30061000
11,100808,202377,의류,59900,894,2019,1,1,8,40,2,0.04095,0.52582,0.0,57.0,0.0,53542000
12,100816,202404,의류,79000,203,2019,1,1,9,0,3,0.04095,0.52582,0.0,50.0,0.0,16075000
13,100816,202404,의류,79000,324,2019,1,1,9,20,3,0.04095,0.52582,0.0,50.0,0.0,25628000
14,100816,202404,의류,79000,624,2019,1,1,9,40,3,0.04095,0.52582,0.0,50.0,0.0,49270000
15,100809,202395,의류,79900,611,2019,1,1,10,0,4,0.04095,0.52582,0.0,44.0,0.6,48799000
16,100809,202395,의류,79900,1225,2019,1,1,10,20,4,0.04095,0.52582,0.0,44.0,0.6,97907000
17,100809,202395,의류,79900,1414,2019,1,1,10,40,4,0.04095,0.52582,0.0,44.0,0.6,112972000
18,100664,201999,속옷,69900,351,2019,1,1,11,0,5,0.04095,0.52582,0.0,41.0,1.0,24531000
19,100664,201999,속옷,69900,713,2019,1,1,11,20,5,0.04095,0.52582,0.0,41.0,1.0,49829000
20,100088,200236,주방,60900,555,2019,1,1,12,0,6,0.04095,0.52582,0.0,47.0,1.0,33823000
21,100088,200236,주방,60900,970,2019,1,1,12,20,6,0.04095,0.52582,0.0,47.0,1.0,59083000
22,100088,200236,주방,60900,1629,2019,1,1,12,40,6,0.04095,0.52582,0.0,47.0,1.0,99235000
23,100305,200970,속옷,109000,296,2019,1,1,13,0,7,0.04095,0.52582,0.0,49.0,1.0,32273000
24,100305,200970,속옷,109000,727,2019,1,1,13,30,7,0.04095,0.52582,0.0,49.0,1.0,79273000
25,100377,201220,의류,119000,95,2019,1,1,14,0,8,0.04095,0.52582,0.0,51.0,1.0,11269000
26,100377,201226,의류,119000,175,2019,1,1,14,0,8,0.04095,0.52582,0.0,51.0,1.0,20841000
27,100377,201220,의류,119000,341,2019,1,1,14,30,8,0.04095,0.52582,0.0,51.0,1.0,40526000
28,100377,201226,의류,119000,397,2019,1,1,14,30,8,0.04095,0.52582,0.0,51.0,1.0,47294000
29,100496,201497,농수축,60900,232,2019,1,1,15,0,9,0.04095,0.52582,0.0,46.0,0.8,14113000
30,100496,201497,농수축,60900,532,2019,1,1,15,20,9,0.04095,0.52582,0.0,46.0,0.8,32395000
31,100496,201497,농수축,60900,651,2019,1,1,15,40,9,0.04095,0.52582,0.0,46.0,0.8,39669000
32,100322,201479,농수축,49900,1218,2019,1,1,16,0,10,0.04095,0.52582,0.0,45.0,1.0,60787000
33,100322,201479,농수축,49900,2314,2019,1,1,16,20,10,0.04095,0.52582,0.0,45.0,1.0,115457000
34,100849,202512,농수축,61000,1375,2019,1,1,16,40,11,0.04095,0.52582,0.0,45.0,1.0,83893000
35,100074,200197,이미용,39800,1061,2019,1,1,17,0,12,0.04095,0.52582,0.0,48.0,1.0,42239000
36,100074,200197,이미용,39800,1847,2019,1,1,17,20,12,0.04095,0.52582,0.0,48.0,1.0,73494000
37,100074,200197,이미용,39800,2691,2019,1,1,17,40,12,0.04095,0.52582,0.0,48.0,1.0,107103000
38,100435,201350,농수축,39900,1480,2019,1,1,18,0,13,0.04095,0.52582,0.0,45.0,0.1,59050000
39,100435,201350,농수축,39900,2154,2019,1,1,18,20,13,0.04095,0.52582,0.0,45.0,0.1,85937000
40,100435,201350,농수축,39900,2543,2019,1,1,18,40,13,0.04095,0.52582,0.0,45.0,0.1,101468000
41,100607,201892,속옷,119000,308,2019,1,1,19,0,14,0.04095,0.52582,0.0,45.0,0.0,36620000
42,100607,201892,속옷,119000,583,2019,1,1,19,20,14,0.04095,0.52582,0.0,45.0,0.0,69349000
43,100607,201892,속옷,119000,711,2019,1,1,19,40,14,0.04095,0.52582,0.0,45.0,0.0,84610000
44,100150,200533,가전,439000,81,2019,1,1,20,0,15,0.04095,0.52582,0.0,42.0,0.0,35519000
45,100150,200465,가전,489000,39,2019,1,1,20,0,15,0.04095,0.52582,0.0,42.0,0.0,19123000
46,100150,200533,가전,439000,130,2019,1,1,20,20,15,0.04095,0.52582,0.0,42.0,0.0,56859000
47,100150,200465,가전,489000,120,2019,1,1,20,20,15,0.04095,0.52582,0.0,42.0,0.0,58685000
48,100150,200533,가전,439000,156,2019,1,1,20,40,15,0.04095,0.52582,0.0,42.0,0.0,68320000
49,100150,200465,가전,489000,94,2019,1,1,20,40,15,0.04095,0.52582,0.0,42.0,0.0,46068000
50,100049,202044,의류,499000,33,2019,1,1,21,0,16,0.04095,0.52582,0.0,36.0,0.0,16362000
51,100049,202044,의류,499000,108,2019,1,1,21,20,16,0.04095,0.52582,0.0,36.0,0.0,53791000
52,100049,202044,의류,499000,169,2019,1,1,21,40,16,0.04095,0.52582,0.0,36.0,0.0,84562000
53,100271,200896,의류,299000,127,2019,1,1,22,0,17,0.04095,0.52582,0.0,43.0,0.0,38067000
54,100271,200896,의류,299000,260,2019,1,1,22,30,17,0.04095,0.52582,0.0,43.0,0.0,77764000
