,date,start_h,start_m,end_h,end_m,content,price
0,2018-01-01,1,0,3,0,마스터피스 이태리 오로비앙코 소토마리노,247000
1,2018-01-01,3,0,5,30,셀렙샵 에디션 SAGA 폭스 퍼 머플러,138000
2,2018-01-01,5,30,6,0,[1촌1명품]십장생 쌀눈쌀 10kg,24900
3,2018-01-01,6,0,7,15,[100%호주산]완제품 직수입 生로얄젤리 동결건조 분말 100% 2병,198000
4,2018-01-01,7,15,8,15,2018년형 최신상 쿠쿠블랙스톤 압력밥솥,238000
5,2018-01-01,8,15,9,25,[정관장화애락큐]여배우 김성령의 갱년기관리국내산 100% 1박스,130000
6,2018-01-01,9,25,10,25,"[일명오메가너트] 유기농 오메가사차인치 300g+1200g(총1,500g)",147000
7,2018-01-01,10,25,12,30,[VW 베라왕] 2017 FW 베라VERA 스트레칭 부츠,138000
8,2018-01-01,12,30,13,30,[가격인하] 삼성 UHD TV 65 + 삼성 2.1채널 사운드바 증정,1990000
9,2018-01-01,15,30,16,30,장미쉘바스키아17FW 남성 라이크라x램스울 골프팬츠 패키지,118000
10,2018-01-01,19,25,20,45,[일명귀족차]왕혜문퓨어보이차100_12박스,139000
11,2018-01-01,21,45,22,45,[하루한포쏙]정관장 홍삼정마일드 센스 1박스 ,73000
12,2018-01-01,22,45,23,50,LG프라엘[더마LED마스크]신세계상품권3만원+화장품냉장고,799000
13,2018-01-01,23,50,1,0,[전액환급야나두]최다강의평생수강+최다도서14권+7일무료체험,348000
14,2018-01-02,1,0,2,0,[고비GOBI] 17FW 캐시미어100 폭스퍼숄,348000
15,2018-01-02,2,0,5,30,코펜하겐럭스 남성 웜기모 스웻셔츠 4종,73900
16,2018-01-02,5,30,6,0,[1촌1명품]대천김 재래김20봉+도시락김 24개,28900
17,2018-01-02,6,0,7,15,[매스틱검] 위건강엔 매스틱 2개월분,152150
18,2018-01-02,7,15,8,15,한은정의 밸런스핏 프로_와인레드/그레이 中 택1,336400
19,2018-01-02,8,15,9,20,2018년 천재학습지_ 학습지+과학+논술,245000
20,2018-01-02,9,20,11,30,루안드레아 LouAndrea 밍크 프렌치 롱 코트,598000
21,2018-01-02,11,30,12,30,하프스터디 암기왕+갤럭시탭_영어/중국어/일본어/한국사까지,940000
22,2018-01-02,13,30,14,30,[핫이슈]독하게하자 풋사과 다이어트 시크릿 4주,128000
23,2018-01-02,14,30,15,30,라이나생명 THE간편한4080건강보험,0
