,date,start_h,start_m,end_h,end_m,content,price
0,2018-01-01,2,0,3,0,방송 최저가! 3만원 가격인하![헨리코튼] GOLF 본딩 팬츠 3종 - 남성용(3만원 가격인하),119000
1,2018-01-01,3,0,3,35,[WAXX]드디어 한국 상륙! 여성 벤치코트(롱패딩),119000
2,2018-01-01,3,35,4,5,자바스 멀티큐브 건조살균기,97900
3,2018-01-01,4,5,4,59,테이스티샵 단독구성![고래사어묵]★방송동일★어우동4팩+어짬뽕2팩+김치어우동2팩,37900
4,2018-01-01,4,59,5,0,라이브센스,0
5,2018-01-01,5,0,5,30,7만원 혜택 최초 세일 진행!BREAL 핸드메이드 2종 세트 (롱베스트+재킷=코트),89100
6,2018-01-01,5,30,6,0,[알로아] 컬러부케 프라이팬+냄비 세트,109000
7,2018-01-01,6,0,6,15,[KB손보]암-내마음아는암보험,0
8,2018-01-01,6,15,7,15,[동부]상해-참좋은상해보험,0
9,2018-01-01,7,15,8,15,[김정문 알로에] ★GS단독★ 큐어크림! 우리가족 상비크림!,58000
10,2018-01-01,8,15,9,25,"★방송 최대 용량★ 2.7L 1통 30일 무료체험NEW 퍼실 라벤더 컴플리트솔루션 2.7L*4,1.8L*5,버넬*1,브레프*3",84400
11,2018-01-01,9,25,10,25,[덴티스테] 프리미엄 치약세트(GS단독구성),74900
12,2018-01-01,10,25,11,35,★신년맞이 누페이스 특별패키지 TV쇼핑 최초공개★[누페이스] 트리니티+엘르 패키지 (+수분젤 148ml 2개),497000
13,2018-01-01,11,35,12,40,[풋사과에 빠지다] 일명 신지다이어트 8주+4주 더 총 12주분,122200
14,2018-01-01,12,40,13,40,[오트리] 블랙에디션 고메넛츠 100봉,88900
15,2018-01-01,13,40,14,40,코웨이 나노직수 정수기 렌탈,0
16,2018-01-01,14,40,15,40,[맥스클리닉] 로얄캐비어 오일폼 스페셜 패키지,78900
17,2018-01-01,15,40,16,40,[산지애] 사과(미시마) 3.5kg*3박스(총 10.5kg),58900
18,2018-01-01,16,40,17,40,★신년맞이 누페이스 특별패키지 TV쇼핑 최초공개★[누페이스] 트리니티+엘르 패키지 (+수분젤 148ml 2개),497000
19,2018-01-01,17,40,18,40,[쿠쿠] 17년 NEW 풀스텐 밥솥 10인 CRP-QW105 + 사은품,217000
20,2018-01-01,18,40,19,35,서유럽4개국/성인아동/8박10일[1/30. 2/6.20. 3/6.20]인천.대한항공,2190000
21,2018-01-01,19,35,20,40,바디프랜드 안마의자 렌탈,0
22,2018-01-01,20,40,21,40,★12배농축/동결건조★★200억 판매★ 시베리안차가버섯 12통 (25g*12통),198000
23,2018-01-01,21,40,22,45,견미리팩트★조건없이 5개 용량★ 에이지투웨니스 시즌9 TX세트,68900
24,2018-01-01,22,45,23,45,롯데렌터카 신차장기렌터카,0
25,2018-01-01,23,45,1,0,★GS단독★올리고더미 스페셜마스크 패키지,108000
26,2018-01-02,1,0,2,0,[라이프에버]보이차다이어트 12주분+ 보이차 추출분말 3박스,167000
