,period,ratio
0,2019-01-01,0.04095
1,2019-01-02,0.05402
2,2019-01-03,0.05297
3,2019-01-04,0.04612
4,2019-01-05,0.04428
5,2019-01-06,0.04293
6,2019-01-07,0.05532
7,2019-01-08,0.05499
8,2019-01-09,0.05417
9,2019-01-10,1.374
10,2019-01-11,0.0554
11,2019-01-12,0.0615
12,2019-01-13,0.10116
13,2019-01-14,0.31787
14,2019-01-15,0.41285
15,2019-01-16,0.1156
16,2019-01-17,0.07487
17,2019-01-18,0.06613
18,2019-01-19,0.07099
19,2019-01-20,0.04993
20,2019-01-21,0.05709
21,2019-01-22,0.05366
22,2019-01-23,0.06571
23,2019-01-24,0.04281
24,2019-01-25,0.04228
25,2019-01-26,0.03861
26,2019-01-27,0.03456
27,2019-01-28,0.04565
28,2019-01-29,0.04075
29,2019-01-30,0.03801
30,2019-01-31,0.03201
31,2019-02-01,0.02872
32,2019-02-02,0.02392
33,2019-02-03,0.02253
34,2019-02-04,0.02245
35,2019-02-05,0.0241
36,2019-02-06,0.02846
37,2019-02-07,0.0415
38,2019-02-08,0.03696
39,2019-02-09,0.03048
40,2019-02-10,0.03225
41,2019-02-11,0.04236
42,2019-02-12,0.04565
43,2019-02-13,0.04149
44,2019-02-14,0.03713
45,2019-02-15,0.03243
46,2019-02-16,0.03155
47,2019-02-17,0.03308
48,2019-02-18,0.04191
49,2019-02-19,0.03647
50,2019-02-20,0.0436
51,2019-02-21,0.06298
52,2019-02-22,0.0721
53,2019-02-23,0.0472
54,2019-02-24,0.04612
55,2019-02-25,0.07619
56,2019-02-26,0.05194
57,2019-02-27,0.04649
58,2019-02-28,0.05807
59,2019-03-01,0.09196
60,2019-03-02,0.11654
61,2019-03-03,0.14925
62,2019-03-04,0.4941
63,2019-03-05,2.16482
64,2019-03-06,0.81229
65,2019-03-07,0.33077
66,2019-03-08,0.13015
67,2019-03-09,0.08174
68,2019-03-10,0.09622
69,2019-03-11,0.10259
70,2019-03-12,0.11148
71,2019-03-13,0.0675
72,2019-03-14,0.05589
73,2019-03-15,0.05176
74,2019-03-16,0.04152
75,2019-03-17,0.04476
76,2019-03-18,0.05838
77,2019-03-19,0.0733
78,2019-03-20,0.09467
79,2019-03-21,0.05579
80,2019-03-22,0.0464
81,2019-03-23,0.03659
82,2019-03-24,0.0394
83,2019-03-25,0.05532
84,2019-03-26,0.06148
85,2019-03-27,0.07679
86,2019-03-28,0.07405
87,2019-03-29,0.04494
88,2019-03-30,0.03425
89,2019-03-31,0.0394
90,2019-04-01,0.04264
91,2019-04-02,0.04339
92,2019-04-03,0.03988
93,2019-04-04,0.03707
94,2019-04-05,0.03609
95,2019-04-06,0.03098
96,2019-04-07,0.03227
97,2019-04-08,0.0356
98,2019-04-09,0.03588
99,2019-04-10,0.0338
100,2019-04-11,0.04446
101,2019-04-12,0.03843
102,2019-04-13,0.25304
103,2019-04-14,0.03182
104,2019-04-15,0.03518
105,2019-04-16,0.035
106,2019-04-17,0.03353
107,2019-04-18,0.0321
108,2019-04-19,0.02795
109,2019-04-20,0.02392
110,2019-04-21,0.02596
111,2019-04-22,0.03206
112,2019-04-23,0.03476
113,2019-04-24,0.02833
114,2019-04-25,0.02662
115,2019-04-26,0.02155
116,2019-04-27,0.01903
117,2019-04-28,0.02089
118,2019-04-29,0.02468
119,2019-04-30,0.02265
120,2019-05-01,0.02485
121,2019-05-02,0.02869
122,2019-05-03,0.02527
123,2019-05-04,0.0244
124,2019-05-05,0.02371
125,2019-05-06,0.02527
126,2019-05-07,0.02836
127,2019-05-08,0.02929
128,2019-05-09,0.032
129,2019-05-10,0.02875
130,2019-05-11,0.02387
131,2019-05-12,0.02482
132,2019-05-13,0.03086
133,2019-05-14,0.0299
134,2019-05-15,0.03111
135,2019-05-16,0.03007
136,2019-05-17,0.02627
137,2019-05-18,0.02239
138,2019-05-19,0.02076
139,2019-05-20,0.02551
140,2019-05-21,0.02812
141,2019-05-22,0.02756
142,2019-05-23,0.0265
143,2019-05-24,0.28334
144,2019-05-25,0.02437
145,2019-05-26,0.02041
146,2019-05-27,0.0244
147,2019-05-28,0.02336
148,2019-05-29,0.02152
149,2019-05-30,0.02167
150,2019-05-31,0.02001
151,2019-06-01,0.01701
152,2019-06-02,0.01935
153,2019-06-03,0.0233
154,2019-06-04,0.02223
155,2019-06-05,0.02028
156,2019-06-06,0.01764
157,2019-06-07,0.01774
158,2019-06-08,0.01735
159,2019-06-09,0.01902
160,2019-06-10,0.0199
161,2019-06-11,0.01945
162,2019-06-12,0.02005
163,2019-06-13,0.02121
164,2019-06-14,0.0184
165,2019-06-15,0.01543
166,2019-06-16,0.01744
167,2019-06-17,0.02011
168,2019-06-18,0.02043
169,2019-06-19,0.01888
170,2019-06-20,0.01846
171,2019-06-21,0.01873
172,2019-06-22,0.01484
173,2019-06-23,0.01653
174,2019-06-24,0.01936
175,2019-06-25,0.0196
176,2019-06-26,0.01771
177,2019-06-27,0.01668
178,2019-06-28,0.01551
179,2019-06-29,0.01385
180,2019-06-30,0.01511
181,2019-07-01,0.01812
182,2019-07-02,0.01807
183,2019-07-03,0.01891
184,2019-07-04,0.01861
185,2019-07-05,0.01806
186,2019-07-06,0.01656
187,2019-07-07,0.01842
188,2019-07-08,0.02404
189,2019-07-09,0.02131
190,2019-07-10,0.01777
191,2019-07-11,0.01726
