,date,start_h,start_m,end_h,end_m,content,price
0,2020-01-01,2,0,2,20,[NS Shop+]더케이 예다함 상조서비스(티포트),0
1,2020-01-01,2,20,3,20,[삼성카드5%할인][NS Shop+](일시불)황금관절 4개월분,158000
2,2020-01-01,4,20,5,20,[삼성카드5%할인][NS Shop+](일시불)박경호녹용활력 명작 6박스/120포,138000
3,2020-01-01,5,20,6,20,[NS Shop+]삼성화재 행복한파트너 주택화재보험,0
4,2020-01-01,6,20,7,20,[삼성카드5%할인][NS Shop+]굿프렌드 스트레칭 안마 매트 GOOD-A7,199000
5,2020-01-01,7,20,8,20,[삼성카드5%할인][NS Shop+]마르엘라로사티 에코무스탕1종,78000
6,2020-01-01,8,21,9,21,[삼성카드5%할인][NS Shop+]오델로 여성 겨울모자 3종,28800
7,2020-01-01,9,21,10,21,[삼성카드5%할인][NS Shop+]VONIN 보닌 남성 기초세트 ,53000
8,2020-01-01,10,21,11,21,[삼성카드5%할인][NS Shop+]헤스티지 엘레나 라쿤양가죽 콤비 롱코트,298000
9,2020-01-01,11,21,12,21,[삼성카드5%할인][NS Shop+]코치 뉴 베네트 크로스백,198000
10,2020-01-01,12,21,13,21,[NS Shop+]DB손해보험 참좋은운전자보험,0
11,2020-01-01,13,22,14,11,[삼성카드5%할인][NS Shop+]레이프릴 오가닉 코튼 보정팬티 12종,38900
12,2020-01-01,14,11,14,22,[NS Shop+]멋진밥상 흥양농협 햅쌀 20kg ,56900
13,2020-01-01,14,22,15,22,[삼성카드5%할인][NS Shop+]참존 탑뉴스 지이링클 기초세트(스킨X2+로션X2+크림X4+에센스X2+쇼핑백X2),58000
14,2020-01-01,15,22,16,22,[삼성카드5%할인][NS Shop+]램프쿡 자동회전냄비,104000
15,2020-01-01,16,22,17,22,[삼성카드5%할인][NS Shop+]임성근의 녹용도가니탕 풀세트(도가니탕X8+도가니수육X8+양념장+인삼소금),54900
16,2020-01-01,17,22,18,22,[삼성카드5%할인][NS Shop+]국내산 손질 햇 갑오징어 9팩,48900
17,2020-01-01,18,22,19,22,[삼성카드5%할인][NS Shop+](무이자)쿠첸 압력밥솥 10인용,168000
18,2020-01-01,19,22,20,22,[삼성카드5%할인][NS Shop+]푸마 스트레치 심리스 드로즈 11종,88000
19,2020-01-01,20,22,21,22,[NS Shop+]현대렌탈케어 정수기 렌탈,0
20,2020-01-01,21,22,22,22,[삼성카드5%할인][NS Shop+]LG 울트라HD TV 55UM7900BNA,1190000
21,2020-01-01,22,22,23,22,[삼성카드5%할인][NS Shop+](일시불)장수흙침대 싱글,1090000
22,2020-01-01,23,22,0,2,[삼성카드5%할인][NS Shop+]비버리힐스폴로클럽 남성기초세트(골드아이크림+콜라겐아이크림),38800
23,2020-01-02,2,0,2,20,[삼성카드5%할인][NS Shop+]헤스티지 엘레나 라쿤양가죽 콤비 롱코트,298000
24,2020-01-02,2,20,3,20,[삼성카드5%할인][NS Shop+](일시불)관절팔팔 총 6병,178000
25,2020-01-02,3,20,4,20,[NS Shop+]더케이 예다함 상조서비스(티포트),0
26,2020-01-02,4,20,5,20,[삼성카드5%할인][NS Shop+](일시불)박경호녹용활력 명작 6박스/120포,138000
27,2020-01-02,5,20,6,20,[삼성카드5%할인][NS Shop+](일시불)황금관절 4개월분,158000
28,2020-01-02,6,20,7,20,[삼성카드5%할인][NS Shop+]아이러브 허브 찜질팩 5종세트 ,68000
29,2020-01-02,7,20,8,20,[삼성카드5%할인][NS Shop+]브루마스 벨라V앵클부츠,48000
30,2020-01-02,8,21,9,21,[삼성카드5%할인][NS Shop+]네오젠 에이지큐어 원미닛 링클 리프트 2박스+크림,58900
31,2020-01-02,9,21,10,21,[삼성카드5%할인][NS Shop+]IH 옛 가마솥 세트,59000
32,2020-01-02,10,21,11,21,[삼성카드5%할인][NS Shop+]영산포 숙성 홍어회 7팩,28900
33,2020-01-02,11,21,12,21,[삼성카드5%할인][NS Shop+]오세득 본 갈비탕 10팩,59900
34,2020-01-02,12,21,13,21,[삼성카드5%할인][NS Shop+]암블로 19 F/W 남성 트레킹화 3종,48800
35,2020-01-02,13,22,14,22,[NS Shop+]휴렉 음식물처리기 + 홈케어서비스,0
36,2020-01-02,14,22,15,22,[삼성카드5%할인][10% 즉시할인]조이앤피스 양가죽 니트 부츠,68000
37,2020-01-02,15,22,16,22,[삼성카드5%할인][NS Shop+]정직한 농부의 석류 4박스,58900
38,2020-01-02,16,22,17,22,[삼성카드5%할인][NS Shop+]통영바다의보물 국내산 냉동 참굴 200gX12팩,38900
39,2020-01-02,17,22,18,22,[삼성카드5%할인][NS Shop+]고창 꿀 고구마 총 10kg,29900
40,2020-01-02,18,22,19,22,[삼성카드5%할인][NS Shop+]안동 간고등어 20팩,29900
