,period,ratio
0,2019-01-01,0.31096
1,2019-01-02,0.72517
2,2019-01-03,0.90306
3,2019-01-04,0.78306
4,2019-01-05,0.44779
5,2019-01-06,0.14284
6,2019-01-07,0.5331
7,2019-01-08,0.8991
8,2019-01-09,0.73461
9,2019-01-10,0.62226
10,2019-01-11,0.57824
11,2019-01-12,0.35577
12,2019-01-13,0.12809
13,2019-01-14,0.51158
14,2019-01-15,0.87555
15,2019-01-16,0.71732
16,2019-01-17,0.61138
17,2019-01-18,0.5847
18,2019-01-19,0.35994
19,2019-01-20,0.13098
20,2019-01-21,0.50906
21,2019-01-22,0.90556
22,2019-01-23,0.73538
23,2019-01-24,0.66188
24,2019-01-25,0.6425
25,2019-01-26,0.41246
26,2019-01-27,0.14685
27,2019-01-28,0.5355
28,2019-01-29,1.02385
29,2019-01-30,0.93986
30,2019-01-31,0.69996
31,2019-02-01,0.35655
32,2019-02-02,0.16433
33,2019-02-03,0.07043
34,2019-02-04,0.05582
35,2019-02-05,0.05441
36,2019-02-06,0.11551
37,2019-02-07,0.68225
38,2019-02-08,6.158
39,2019-02-09,1.19255
40,2019-02-10,0.28884
41,2019-02-11,0.86696
42,2019-02-12,1.33356
43,2019-02-13,1.07645
44,2019-02-14,0.85067
45,2019-02-15,0.72791
46,2019-02-16,0.45824
47,2019-02-17,0.16064
48,2019-02-18,0.59653
49,2019-02-19,1.03705
50,2019-02-20,0.81881
51,2019-02-21,0.70787
52,2019-02-22,0.64631
53,2019-02-23,0.40617
54,2019-02-24,0.13792
55,2019-02-25,0.5465
56,2019-02-26,0.94671
57,2019-02-27,0.83878
58,2019-02-28,0.72611
59,2019-03-01,0.5237
60,2019-03-02,0.51284
61,2019-03-03,0.21125
62,2019-03-04,0.65386
63,2019-03-05,1.1621
64,2019-03-06,1.04911
65,2019-03-07,0.82235
66,2019-03-08,0.70429
67,2019-03-09,0.45625
68,2019-03-10,0.15826
69,2019-03-11,0.54079
70,2019-03-12,0.90802
71,2019-03-13,0.76353
72,2019-03-14,0.65695
73,2019-03-15,0.58444
74,2019-03-16,0.38164
75,2019-03-17,0.13467
76,2019-03-18,0.50114
77,2019-03-19,0.83692
78,2019-03-20,0.66764
79,2019-03-21,0.58432
80,2019-03-22,0.56166
81,2019-03-23,0.38118
82,2019-03-24,0.1274
83,2019-03-25,0.4842
84,2019-03-26,0.80589
85,2019-03-27,0.65052
86,2019-03-28,0.56927
87,2019-03-29,0.55496
88,2019-03-30,0.35607
89,2019-03-31,0.12204
90,2019-04-01,0.45833
91,2019-04-02,0.80459
92,2019-04-03,0.68587
93,2019-04-04,0.61454
94,2019-04-05,0.57692
95,2019-04-06,0.35746
96,2019-04-07,0.1223
97,2019-04-08,0.46515
98,2019-04-09,0.76212
99,2019-04-10,0.61745
100,2019-04-11,0.58991
101,2019-04-12,0.5744
102,2019-04-13,0.40032
103,2019-04-14,0.14018
104,2019-04-15,0.49107
105,2019-04-16,0.79285
106,2019-04-17,0.63857
107,2019-04-18,0.56298
108,2019-04-19,0.5237
109,2019-04-20,0.33448
110,2019-04-21,0.11849
111,2019-04-22,0.43839
112,2019-04-23,0.75211
113,2019-04-24,0.61168
114,2019-04-25,0.53402
115,2019-04-26,0.49689
116,2019-04-27,0.31173
117,2019-04-28,0.11791
118,2019-04-29,0.45037
119,2019-04-30,0.77357
120,2019-05-01,0.54055
121,2019-05-02,0.49408
122,2019-05-03,0.68811
123,2019-05-04,0.40918
124,2019-05-05,0.11073
125,2019-05-06,0.19677
126,2019-05-07,0.60251
127,2019-05-08,1.08414
128,2019-05-09,0.83974
129,2019-05-10,0.59955
130,2019-05-11,0.35742
131,2019-05-12,0.1218
132,2019-05-13,0.47577
133,2019-05-14,0.82965
134,2019-05-15,0.69222
135,2019-05-16,0.58519
136,2019-05-17,0.54742
137,2019-05-18,0.34854
138,2019-05-19,0.1217
139,2019-05-20,0.44679
140,2019-05-21,0.77681
141,2019-05-22,0.67148
142,2019-05-23,0.56496
143,2019-05-24,0.51231
144,2019-05-25,0.31999
145,2019-05-26,0.10906
146,2019-05-27,0.41807
147,2019-05-28,0.71399
148,2019-05-29,0.62779
149,2019-05-30,0.51828
150,2019-05-31,0.46761
151,2019-06-01,0.28948
152,2019-06-02,0.10526
153,2019-06-03,0.41883
154,2019-06-04,0.76746
155,2019-06-05,0.65816
156,2019-06-06,0.39356
157,2019-06-07,0.69323
158,2019-06-08,0.60066
159,2019-06-09,0.14673
160,2019-06-10,0.47887
161,2019-06-11,0.77692
162,2019-06-12,0.63244
163,2019-06-13,0.55583
164,2019-06-14,0.52081
165,2019-06-15,0.33408
166,2019-06-16,0.11085
167,2019-06-17,0.43074
168,2019-06-18,0.75686
169,2019-06-19,0.62985
170,2019-06-20,0.56361
171,2019-06-21,0.53621
172,2019-06-22,0.34025
173,2019-06-23,0.11293
174,2019-06-24,0.42561
175,2019-06-25,0.73994
176,2019-06-26,0.61273
177,2019-06-27,0.55138
178,2019-06-28,0.51724
179,2019-06-29,0.3248
180,2019-06-30,0.11049
181,2019-07-01,0.41744
182,2019-07-02,0.7964
183,2019-07-03,0.70771
184,2019-07-04,0.62315
185,2019-07-05,0.57561
186,2019-07-06,0.3799
187,2019-07-07,0.11546
188,2019-07-08,0.45929
189,2019-07-09,0.77333
190,2019-07-10,0.61907
191,2019-07-11,0.55875
192,2019-07-12,0.54907
193,2019-07-13,0.35986
194,2019-07-14,0.11521
195,2019-07-15,0.44457
196,2019-07-16,0.79257
197,2019-07-17,0.66867
198,2019-07-18,0.57361
199,2019-07-19,0.5526
200,2019-07-20,0.35358
201,2019-07-21,0.11402
202,2019-07-22,0.46491
203,2019-07-23,0.86752
204,2019-07-24,0.73785
205,2019-07-25,0.6353
206,2019-07-26,0.57232
207,2019-07-27,0.36502
208,2019-07-28,0.11408
209,2019-07-29,0.4485
210,2019-07-30,0.80307
211,2019-07-31,0.64153
212,2019-08-01,0.52
213,2019-08-02,0.49698
214,2019-08-03,0.33492
215,2019-08-04,0.10998
216,2019-08-05,0.41969
217,2019-08-06,0.76539
218,2019-08-07,0.62031
219,2019-08-08,0.54736
220,2019-08-09,0.51051
221,2019-08-10,0.33861
222,2019-08-11,0.11659
223,2019-08-12,0.45291
224,2019-08-13,0.85702
225,2019-08-14,0.73833
226,2019-08-15,0.45325
227,2019-08-16,0.75894
228,2019-08-17,0.63094
229,2019-08-18,0.15153
230,2019-08-19,0.52522
231,2019-08-20,0.84457
232,2019-08-21,0.6859
233,2019-08-22,0.58698
234,2019-08-23,0.56939
235,2019-08-24,0.36178
236,2019-08-25,0.12348
237,2019-08-26,0.45193
238,2019-08-27,0.77585
239,2019-08-28,0.67317
240,2019-08-29,0.64042
241,2019-08-30,0.63995
242,2019-08-31,0.42281
243,2019-09-01,0.12756
244,2019-09-02,0.52756
245,2019-09-03,1.06113
246,2019-09-04,1.09516
247,2019-09-05,1.16964
248,2019-09-06,1.27815
249,2019-09-07,1.00406
250,2019-09-08,0.33228
251,2019-09-09,0.83292
252,2019-09-10,0.96888
253,2019-09-11,0.44562
254,2019-09-12,0.12603
255,2019-09-13,0.07611
256,2019-09-14,0.09338
257,2019-09-15,0.129
258,2019-09-16,0.71517
259,2019-09-17,1.5317
260,2019-09-18,1.40371
261,2019-09-19,1.11902
262,2019-09-20,0.8368
263,2019-09-21,0.4741
264,2019-09-22,0.15522
265,2019-09-23,0.56559
266,2019-09-24,1.0007
267,2019-09-25,0.84086
268,2019-09-26,0.75618
269,2019-09-27,0.64485
