,temp,rain,humidity,sunshine,datetime
0,-7.9,0.0,60,0.0,2019-01-01 06:00:00
1,-7.7,0.0,58,0.0,2019-01-01 07:00:00
2,-7.7,0.0,57,0.0,2019-01-01 08:00:00
3,-7.0,0.0,50,0.0,2019-01-01 09:00:00
4,-4.9,0.0,44,0.6,2019-01-01 10:00:00
5,-3.7,0.0,41,1.0,2019-01-01 11:00:00
6,-2.8,0.0,47,1.0,2019-01-01 12:00:00
7,-1.5,0.0,49,1.0,2019-01-01 13:00:00
8,-1.7,0.0,51,1.0,2019-01-01 14:00:00
9,-1.5,0.0,46,0.8,2019-01-01 15:00:00
10,-0.9,0.0,45,1.0,2019-01-01 16:00:00
11,-1.8,0.0,48,1.0,2019-01-01 17:00:00
12,-2.7,0.0,45,0.1,2019-01-01 18:00:00
13,-3.2,0.0,45,0.0,2019-01-01 19:00:00
14,-3.9,0.0,42,0.0,2019-01-01 20:00:00
15,-4.6,0.0,36,0.0,2019-01-01 21:00:00
16,-5.4,0.0,43,0.0,2019-01-01 22:00:00
17,-6.0,0.0,48,0.0,2019-01-01 23:00:00
18,-6.7,0.0,50,0.0,2019-01-02 00:00:00
19,-7.2,0.0,52,0.0,2019-01-02 01:00:00
20,-7.8,0.0,54,0.0,2019-01-02 02:00:00
21,-8.0,0.0,55,0.0,2019-01-02 03:00:00
22,-8.4,0.0,59,0.0,2019-01-02 04:00:00
23,-8.5,0.0,57,0.0,2019-01-02 05:00:00
24,-8.5,0.0,57,0.0,2019-01-02 06:00:00
25,-8.5,0.0,61,0.0,2019-01-02 07:00:00
26,-8.7,0.0,63,0.0,2019-01-02 08:00:00
27,-7.5,0.0,51,0.6,2019-01-02 09:00:00
28,-5.6,0.0,40,1.0,2019-01-02 10:00:00
29,-4.1,0.0,33,1.0,2019-01-02 11:00:00
30,-2.8,0.0,29,1.0,2019-01-02 12:00:00
31,-1.8,0.0,26,1.0,2019-01-02 13:00:00
32,-0.2,0.0,22,1.0,2019-01-02 14:00:00
33,0.0,0.0,23,1.0,2019-01-02 15:00:00
34,0.0,0.0,22,1.0,2019-01-02 16:00:00
35,-1.0,0.0,32,1.0,2019-01-02 17:00:00
36,-2.6,0.0,37,0.1,2019-01-02 18:00:00
37,-3.3,0.0,39,0.0,2019-01-02 19:00:00
38,-3.9,0.0,43,0.0,2019-01-02 20:00:00
39,-4.4,0.0,44,0.0,2019-01-02 21:00:00
40,-4.3,0.0,47,0.0,2019-01-02 22:00:00
41,-4.6,0.0,47,0.0,2019-01-02 23:00:00
42,-5.4,0.0,46,0.0,2019-01-03 00:00:00
43,-6.1,0.0,48,0.0,2019-01-03 01:00:00
44,-7.0,0.0,53,0.0,2019-01-03 02:00:00
45,-7.5,0.0,51,0.0,2019-01-03 03:00:00
46,-7.7,0.0,53,0.0,2019-01-03 04:00:00
47,-8.0,0.0,57,0.0,2019-01-03 05:00:00
48,-8.1,0.0,54,0.0,2019-01-03 06:00:00
49,-8.3,0.0,58,0.0,2019-01-03 07:00:00
50,-8.4,0.0,56,0.0,2019-01-03 08:00:00
51,-7.7,0.0,43,0.6,2019-01-03 09:00:00
52,-4.8,0.0,33,1.0,2019-01-03 10:00:00
53,-2.4,0.0,30,1.0,2019-01-03 11:00:00
54,-0.4,0.0,26,1.0,2019-01-03 12:00:00
55,1.1,0.0,22,1.0,2019-01-03 13:00:00
56,2.4,0.0,20,1.0,2019-01-03 14:00:00
57,2.9,0.0,20,1.0,2019-01-03 15:00:00
58,3.2,0.0,19,1.0,2019-01-03 16:00:00
59,1.5,0.0,20,1.0,2019-01-03 17:00:00
60,-0.4,0.0,22,0.1,2019-01-03 18:00:00
61,-0.9,0.0,24,0.0,2019-01-03 19:00:00
62,-1.7,0.0,45,0.0,2019-01-03 20:00:00
63,-2.7,0.0,47,0.0,2019-01-03 21:00:00
64,-3.3,0.0,42,0.0,2019-01-03 22:00:00
65,-3.9,0.0,41,0.0,2019-01-03 23:00:00
66,-3.9,0.0,47,0.0,2019-01-04 00:00:00
67,-4.1,0.0,46,0.0,2019-01-04 01:00:00
68,-4.5,0.0,44,0.0,2019-01-04 02:00:00
69,-4.9,0.0,47,0.0,2019-01-04 03:00:00
70,-5.2,0.0,50,0.0,2019-01-04 04:00:00
71,-5.5,0.0,47,0.0,2019-01-04 05:00:00
72,-5.8,0.0,50,0.0,2019-01-04 06:00:00
73,-6.0,0.0,55,0.0,2019-01-04 07:00:00
74,-6.1,0.0,54,0.0,2019-01-04 08:00:00
75,-5.4,0.0,49,0.4,2019-01-04 09:00:00
76,-3.5,0.0,40,1.0,2019-01-04 10:00:00
77,-1.5,0.0,37,0.3,2019-01-04 11:00:00
78,-0.4,0.0,34,0.0,2019-01-04 12:00:00
79,1.1,0.0,40,0.0,2019-01-04 13:00:00
80,3.1,0.0,36,0.8,2019-01-04 14:00:00
81,3.9,0.0,40,1.0,2019-01-04 15:00:00
82,3.0,0.0,49,0.4,2019-01-04 16:00:00
