broadcast,m_code,p_code,p_name,p_group,exp_min,unit_price,total_price,sales,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,YEAR_DAY,DAY_NAME,DAY_NUM,code,no
2019-01-01 06:00:00,100346,201072,테이트 남성 셀린니트3종,의류,60.0,39900,12033000,302,2019,1,1,6,0,0,2019-01-01 00:00:00,Tuesday,2,0,0
2019-01-01 06:00:00,100346,201079,테이트 여성 셀린니트3종,의류,60.0,39900,20663000,518,2019,1,1,6,0,0,2019-01-01 00:00:00,Tuesday,2,0,1
2019-01-01 07:00:00,100305,200974,오모떼 레이스 파운데이션 브라,속옷,60.0,59000,47878000,812,2019,1,1,7,0,0,2019-01-01 00:00:00,Tuesday,2,1,6
2019-01-01 08:00:00,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,60.0,59900,99736000,1665,2019,1,1,8,0,0,2019-01-01 00:00:00,Tuesday,2,2,9
2019-01-01 09:00:00,100816,202404,보코 리버시블 무스탕,의류,60.0,79000,90973000,1151,2019,1,1,9,0,0,2019-01-01 00:00:00,Tuesday,2,3,12
2019-01-01 10:00:00,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,60.0,79900,259678000,3250,2019,1,1,10,0,0,2019-01-01 00:00:00,Tuesday,2,4,15
2019-01-01 11:00:00,100664,201999,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,40.0,69900,74360000,1064,2019,1,1,11,0,0,2019-01-01 00:00:00,Tuesday,2,5,18
2019-01-01 12:00:00,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,60.0,60900,192141000,3154,2019,1,1,12,0,0,2019-01-01 00:00:00,Tuesday,2,6,20
2019-01-01 13:00:00,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,60.0,109000,111546000,1023,2019,1,1,13,0,0,2019-01-01 00:00:00,Tuesday,2,7,23
2019-01-01 14:00:00,100377,201220,그렉노먼 남성 구스다운 롱 벤치코트,의류,60.0,119000,51795000,436,2019,1,1,14,0,0,2019-01-01 00:00:00,Tuesday,2,8,25
2019-01-01 14:00:00,100377,201226,그렉노먼 여성 구스다운 롱 벤치코트,의류,60.0,119000,68135000,572,2019,1,1,14,0,0,2019-01-01 00:00:00,Tuesday,2,8,26
2019-01-01 15:00:00,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,60.0,60900,86177000,1415,2019,1,1,15,0,0,2019-01-01 00:00:00,Tuesday,2,9,29
2019-01-01 16:00:00,100322,201479,국내산 손질갑오징어 8팩,농수축,40.0,49900,176244000,3532,2019,1,1,16,0,0,2019-01-01 00:00:00,Tuesday,2,10,32
2019-01-01 16:40:00,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,20.0,61000,83893000,1375,2019,1,1,16,40,0,2019-01-01 00:00:00,Tuesday,2,11,34
2019-01-01 17:00:00,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,60.0,39800,222836000,5599,2019,1,1,17,0,0,2019-01-01 00:00:00,Tuesday,2,12,35
2019-01-01 18:00:00,100435,201350,우리바다 손질왕꼬막 24팩,농수축,60.0,39900,246455000,6177,2019,1,1,18,0,0,2019-01-01 00:00:00,Tuesday,2,13,38
2019-01-01 19:00:00,100607,201892,푸마 에어핏 서포트 브라세트 15종+4종,속옷,60.0,119000,190579000,1602,2019,1,1,19,0,0,2019-01-01 00:00:00,Tuesday,2,14,41
2019-01-01 20:00:00,100150,200533,일시불 LG 통돌이 세탁기,가전,60.0,439000,160698000,367,2019,1,1,20,0,0,2019-01-01 00:00:00,Tuesday,2,15,44
2019-01-01 20:00:00,100150,200465,무이자 LG 통돌이 세탁기,가전,60.0,489000,123876000,253,2019,1,1,20,0,0,2019-01-01 00:00:00,Tuesday,2,15,45
2019-01-01 21:00:00,100049,202044,마리노블 밍크 롱코트,의류,60.0,499000,154715000,310,2019,1,1,21,0,0,2019-01-01 00:00:00,Tuesday,2,16,50
2019-01-01 22:00:00,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,60.0,299000,115831000,387,2019,1,1,22,0,0,2019-01-01 00:00:00,Tuesday,2,17,53
2019-01-01 23:00:00,100718,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,60.0,89900,122537000,1364,2019,1,1,23,0,0,2019-01-01 00:00:00,Tuesday,2,18,55
2019-01-01 00:00:00,100377,201225,그렉노먼 남성 캐시터치 터틀넥 4종,의류,60.0,69900,34528000,493,2019,1,1,0,0,0,2019-01-01 00:00:00,Tuesday,2,19,58
2019-01-01 00:00:00,100377,201231,그렉노먼 여성 캐시터치 터틀넥 4종,의류,60.0,69900,25577000,365,2019,1,1,0,0,0,2019-01-01 00:00:00,Tuesday,2,19,59
